SOIL_LANDSCAPE_ID,ERI_1981_VAL,ERI_1981_CLASS,ERI_1981_CLASS_EN,ERI_1981_CLASS_FR,ERI_1986_VAL,ERI_1986_CLASS,ERI_1986_CLASS_EN,ERI_1986_CLASS_FR,ERI_1991_VAL,ERI_1991_CLASS,ERI_1991_CLASS_EN,ERI_1991_CLASS_FR,ERI_1996_VAL,ERI_1996_CLASS,ERI_1996_CLASS_EN,ERI_1996_CLASS_FR,ERI_2001_VAL,ERI_2001_CLASS,ERI_2001_CLASS_EN,ERI_2001_CLASS_FR,ERI_2006_VAL,ERI_2006_CLASS,ERI_2006_CLASS_EN,ERI_2006_CLASS_FR,ERI_2011_VAL,ERI_2011_CLASS,ERI_2011_CLASS_EN,ERI_2011_CLASS_FR,ERI_2016_VAL,ERI_2016_CLASS,ERI_2016_CLASS_EN,ERI_2016_CLASS_FR,ERI_2021_VAL,ERI_2021_CLASS,ERI_2021_CLASS_EN,ERI_2021_CLASS_FR,ERI_81_21_CHG_VAL,ERI_81_21_CHG_CLASS,ERI_81_21_CHG_CLASS_EN,ERI_81_21_CHG_CLASS_FR
773001,5.312,1,Very Low,Très faible,4.716,1,Very Low,Très faible,4.643,1,Very Low,Très faible,3.924,1,Very Low,Très faible,2.91,1,Very Low,Très faible,2.167,1,Very Low,Très faible,1.693,1,Very Low,Très faible,1.643,1,Very Low,Très faible,1.523,1,Very Low,Très faible,-3.789,-1,Decrease,Diminuation
773002,23.496,4,High,Élevé,20.978,3,Moderate,Moyen,19.926,3,Moderate,Moyen,17.284,3,Moderate,Moyen,12.6,3,Moderate,Moyen,9.085,2,Low,Faible,7.032,2,Low,Faible,6.2,2,Low,Faible,5.915,1,Very Low,Très faible,-17.581,-2,Large Decrease,Grande diminuation
773003,12.763,3,Moderate,Moyen,11.241,3,Moderate,Moyen,10.812,2,Low,Faible,9.261,2,Low,Faible,6.746,2,Low,Faible,4.878,1,Very Low,Très faible,3.96,1,Very Low,Très faible,3.429,1,Very Low,Très faible,3.239,1,Very Low,Très faible,-9.524,-2,Large Decrease,Grande diminuation
773004,18.905,3,Moderate,Moyen,16.641,3,Moderate,Moyen,16.015,3,Moderate,Moyen,13.846,3,Moderate,Moyen,10.003,2,Low,Faible,7.297,2,Low,Faible,5.644,1,Very Low,Très faible,4.936,1,Very Low,Très faible,4.704,1,Very Low,Très faible,-14.201,-2,Large Decrease,Grande diminuation
773005,10.922,2,Low,Faible,9.956,2,Low,Faible,9.337,2,Low,Faible,7.825,2,Low,Faible,5.835,1,Very Low,Très faible,4.395,1,Very Low,Très faible,3.893,1,Very Low,Très faible,3.805,1,Very Low,Très faible,3.429,1,Very Low,Très faible,-7.493,-2,Large Decrease,Grande diminuation
773006,11.009,3,Moderate,Moyen,10.074,2,Low,Faible,9.564,2,Low,Faible,8.227,2,Low,Faible,6.049,2,Low,Faible,4.462,1,Very Low,Très faible,3.818,1,Very Low,Très faible,3.439,1,Very Low,Très faible,3.159,1,Very Low,Très faible,-7.85,-2,Large Decrease,Grande diminuation
773007,14.756,3,Moderate,Moyen,13.118,3,Moderate,Moyen,12.975,3,Moderate,Moyen,10.651,2,Low,Faible,7.679,2,Low,Faible,5.632,1,Very Low,Très faible,4.619,1,Very Low,Très faible,3.941,1,Very Low,Très faible,3.767,1,Very Low,Très faible,-10.989,-2,Large Decrease,Grande diminuation
773008,16.175,3,Moderate,Moyen,14.2,3,Moderate,Moyen,13.337,3,Moderate,Moyen,11.293,3,Moderate,Moyen,8.287,2,Low,Faible,6.307,2,Low,Faible,5.136,1,Very Low,Très faible,4.378,1,Very Low,Très faible,4.167,1,Very Low,Très faible,-12.008,-2,Large Decrease,Grande diminuation
773009,4.293,1,Very Low,Très faible,3.972,1,Very Low,Très faible,3.715,1,Very Low,Très faible,3.172,1,Very Low,Très faible,2.389,1,Very Low,Très faible,1.718,1,Very Low,Très faible,1.577,1,Very Low,Très faible,1.517,1,Very Low,Très faible,1.365,1,Very Low,Très faible,-2.928,-1,Decrease,Diminuation
774001,16.896,3,Moderate,Moyen,15.172,3,Moderate,Moyen,14.984,3,Moderate,Moyen,12.404,3,Moderate,Moyen,8.756,2,Low,Faible,6.538,2,Low,Faible,4.942,1,Very Low,Très faible,4.588,1,Very Low,Très faible,4.12,1,Very Low,Très faible,-12.776,-2,Large Decrease,Grande diminuation
774002,23.757,4,High,Élevé,21.566,3,Moderate,Moyen,21.143,3,Moderate,Moyen,17.497,3,Moderate,Moyen,12.664,3,Moderate,Moyen,9.329,2,Low,Faible,6.893,2,Low,Faible,6.633,2,Low,Faible,6.018,2,Low,Faible,-17.739,-2,Large Decrease,Grande diminuation
774003,17.38,3,Moderate,Moyen,15.767,3,Moderate,Moyen,15.151,3,Moderate,Moyen,12.389,3,Moderate,Moyen,8.71,2,Low,Faible,6.673,2,Low,Faible,5.11,1,Very Low,Très faible,4.753,1,Very Low,Très faible,4.301,1,Very Low,Très faible,-13.079,-2,Large Decrease,Grande diminuation
774004,28.59,4,High,Élevé,25.484,4,High,Élevé,24.706,4,High,Élevé,20.319,3,Moderate,Moyen,14.603,3,Moderate,Moyen,11.137,3,Moderate,Moyen,8.655,2,Low,Faible,7.962,2,Low,Faible,7.233,2,Low,Faible,-21.357,-2,Large Decrease,Grande diminuation
775001,28.893,4,High,Élevé,25.586,4,High,Élevé,23.452,4,High,Élevé,17.837,3,Moderate,Moyen,14.562,3,Moderate,Moyen,11.635,3,Moderate,Moyen,7.535,2,Low,Faible,7.301,2,Low,Faible,7.127,2,Low,Faible,-21.766,-2,Large Decrease,Grande diminuation
775002,37.212,5,Very High,Très élevé,33.48,5,Very High,Très élevé,30.467,4,High,Élevé,23.102,4,High,Élevé,19.163,3,Moderate,Moyen,15.443,3,Moderate,Moyen,9.845,2,Low,Faible,9.965,2,Low,Faible,9.607,2,Low,Faible,-27.605,-2,Large Decrease,Grande diminuation
775003,19.657,3,Moderate,Moyen,18.323,3,Moderate,Moyen,16.726,3,Moderate,Moyen,12.463,3,Moderate,Moyen,10.148,2,Low,Faible,7.809,2,Low,Faible,4.75,1,Very Low,Très faible,4.787,1,Very Low,Très faible,4.475,1,Very Low,Très faible,-15.182,-2,Large Decrease,Grande diminuation
775004,28.09,4,High,Élevé,25.144,4,High,Élevé,22.725,4,High,Élevé,16.906,3,Moderate,Moyen,14.418,3,Moderate,Moyen,11.402,3,Moderate,Moyen,6.928,2,Low,Faible,7.365,2,Low,Faible,7.024,2,Low,Faible,-21.066,-2,Large Decrease,Grande diminuation
