Erosion_Value1N,Erosion_Value2N,Erosion_Value3N,Erosion_Value4N
-0.0064321756,0.069451466,0.016247783,0.010360684
-0.0056428313,0.06948726,0.017221842,0.010672685
-0.0066363215,0.06944294,0.015994761,0.010281082
-0.0061874986,0.0694627,0.016549561,0.010457631
-0.006505668,0.06944825,0.016156945,0.010331895
-0.0062483847,0.069459364,0.016475353,0.010432746
-0.006518781,0.06944783,0.016140494,0.010326948
-0.006595731,0.06944431,0.016045485,0.01029649
-0.0047321916,0.06952982,0.01834372,0.011034306
-0.004806876,0.069526,0.018252108,0.011004206
-0.006690383,0.06944035,0.015928302,0.010259505
-0.0066456497,0.069442585,0.015983079,0.010277506
-0.0059342086,0.06947513,0.016860697,0.0105590485
-0.006568134,0.06944604,0.016078863,0.010308024
0.1514489,0.07870747,0.20768368,0.075653076
-0.0037808418,0.069573775,0.019516382,0.011411395
-0.0063526034,0.069454804,0.016346488,0.010391828
-0.006242931,0.06945951,0.016482327,0.010434832
-0.005184859,0.069508895,0.017785642,0.010854896
-0.0041922033,0.069555536,0.019008074,0.011249419
-0.0032509565,0.06960221,0.020163212,0.0116268955
-0.0059678555,0.0694734,0.01681951,0.010545488
-0.005953282,0.069474265,0.016837154,0.010551449
-0.0061552227,0.06946413,0.016589437,0.010470387
0.035493195,0.071912274,0.06707904,0.027703162
-0.006236613,0.06946151,0.016487334,0.010439631
-0.0042841434,0.069552705,0.018892441,0.011214968
-0.006492913,0.069448516,0.016173277,0.010336485
-0.006480694,0.0694492,0.016188178,0.010341492
-0.006628275,0.06944324,0.016004715,0.010284182
-0.0060878396,0.06946774,0.01667175,0.010497775
-0.00398463,0.06956361,0.01926634,0.011329528
-0.0063372254,0.069456056,0.016364489,0.010398682
-0.0066030324,0.06944384,0.016036782,0.010293391
0.0010805726,0.069849506,0.025426064,0.013409015
-0.006575167,0.0694453,0.016070876,0.0103047155
0.0031598508,0.06995644,0.0279716,0.014248189
0.0019045472,0.06987439,0.026463125,0.013717409
-0.0054904222,0.069495246,0.017408285,0.010734435
-0.0049150884,0.06952821,0.01810703,0.010971334
-0.00068974495,0.069729075,0.023306523,0.012653824
-0.0053889155,0.069504365,0.017526243,0.010780748
-0.0064347684,0.06945126,0.016244803,0.010359641
-0.006339133,0.06945528,0.016363356,0.010396954
-0.006722808,0.06943749,0.015890513,0.010244783
0.00035727024,0.06980102,0.024558876,0.013101455
-0.0057884753,0.06947999,0.017043326,0.010614242
-0.0038684607,0.069573835,0.019401703,0.011382367
0.114694774,0.076783136,0.16274449,0.06077182
0.14850241,0.07878275,0.20370874,0.074777484
-0.0067107677,0.06943892,0.015903924,0.010250773
0.08896223,0.075186536,0.13168558,0.050008383
-0.005006045,0.06951387,0.018011484,0.010921266
-0.0057253838,0.069481775,0.017122898,0.010637667
-0.0061635673,0.06946142,0.01658294,0.01046383
-0.005898118,0.06947462,0.01690862,0.010570344
-0.0048026443,0.06952526,0.018258963,0.011004563
-0.004249543,0.06955032,0.018941555,0.011223134
-0.005696535,0.06948264,0.017159138,0.010648485
0.16429454,0.07932396,0.22348082,0.08077669
-0.00622344,0.069459274,0.016508136,0.010440912
-0.005231142,0.06950383,0.01773331,0.010832485
-0.0058999658,0.06947403,0.016907249,0.010568943
-0.0050188303,0.06951465,0.017993543,0.0109180175
0.042456806,0.07240303,0.07538882,0.030696984
0.028279811,0.07145949,0.058380935,0.024678703
0.2140348,0.08174707,0.28459182,0.10066545
0.019009113,0.07087411,0.047207747,0.020786937
-0.0055961907,0.06948613,0.017284784,0.010686632
0.013078421,0.070562854,0.039957616,0.018384572
0.030619085,0.07154803,0.061296258,0.025578883
0.0036968589,0.06997843,0.028638039,0.0144571625
0.00883925,0.07025345,0.034916315,0.016547259
0.078409016,0.07440059,0.11916068,0.045412924
0.001519084,0.0698417,0.026012156,0.013544049
0.030586481,0.071514234,0.061308417,0.025521334
0.008859843,0.07024939,0.034949753,0.01654857
0.09257406,0.07512833,0.13650271,0.05112892
0.028311431,0.07136832,0.05857018,0.02456313
0.004880786,0.07002552,0.030109797,0.01491588
0.15045571,0.07869138,0.20641106,0.07530069
0.110577255,0.07619433,0.15831512,0.05858874
0.058859885,0.07339729,0.095225245,0.03752559
0.015216798,0.07067926,0.042564962,0.019256528
0.016632289,0.07075246,0.04429725,0.019828316
-0.0022589564,0.06965862,0.021368895,0.01203474
0.009444356,0.070283964,0.035657976,0.016790655
0.009139478,0.07027258,0.035277817,0.016673502
0.012114465,0.070482686,0.038827214,0.017953184
-0.0028449,0.06962909,0.02065054,0.0117990635
0.014495552,0.070602015,0.041747186,0.018909868
0.057205915,0.07312216,0.09350848,0.03659534
0.016856074,0.07076807,0.04456458,0.01992431
-0.0064772964,0.06944956,0.016191874,0.010343131
0.006132573,0.07009418,0.031635378,0.015427079
0.000526309,0.06979518,0.024789426,0.013149586
0.02898845,0.071538374,0.059179697,0.025023337
0.028766453,0.071495846,0.058958326,0.024890747
0.045576006,0.07266371,0.07904473,0.032094534
0.0122026205,0.07047029,0.038962696,0.017965343
0.026601344,0.07143481,0.056226168,0.024086501
-0.002173543,0.069647714,0.021498237,0.012048002
0.022983938,0.07103975,0.052136693,0.022337552
0.20175898,0.080092564,0.2712227,0.094296515
0.015747547,0.07062794,0.043342147,0.019362118
-0.0010317564,0.069720194,0.022873674,0.012527939
0.0050585866,0.070024714,0.030343566,0.014973935
0.005441427,0.07004489,0.030811463,0.015129115
