SOIL_LANDSCAPE_ID,ERI_TILL_1981_VAL,ERI_TILL_1981_CLASS,ERI_TILL_1981_CLASS_EN,ERI_TILL_1981_CLASS_FR,ERI_TILL_1986_VAL,ERI_TILL_1986_CLASS,ERI_TILL_1986_CLASS_EN,ERI_TILL_1986_CLASS_FR,ERI_TILL_1991_VAL,ERI_TILL_1991_CLASS,ERI_TILL_1991_CLASS_EN,ERI_TILL_1991_CLASS_FR,ERI_TILL_1996_VAL,ERI_TILL_1996_CLASS,ERI_TILL_1996_CLASS_EN,ERI_TILL_1996_CLASS_FR,ERI_TILL_2001_VAL,ERI_TILL_2001_CLASS,ERI_TILL_2001_CLASS_EN,ERI_TILL_2001_CLASS_FR,ERI_TILL_2006_VAL,ERI_TILL_2006_CLASS,ERI_TILL_2006_CLASS_EN,ERI_TILL_2006_CLASS_FR,ERI_TILL_2011_VAL,ERI_TILL_2011_CLASS,ERI_TILL_2011_CLASS_EN,ERI_TILL_2011_CLASS_FR,ERI_TILL_2016_VAL,ERI_TILL_2016_CLASS,ERI_TILL_2016_CLASS_EN,ERI_TILL_2016_CLASS_FR,ERI_TILL_2021_VAL,ERI_TILL_2021_CLASS,ERI_TILL_2021_CLASS_EN,ERI_TILL_2021_CLASS_FR,ERI_TILL_81_21_CHG_VAL,ERI_TILL_81_21_CHG_CLASS,ERI_TILL_81_21_CHG_CLASS_EN,ERI_TILL_81_21_CHG_CLASS_FR
483037,4.212,1,Very Low,Très faible,4.068,1,Very Low,Très faible,3.885,1,Very Low,Très faible,4,1,Very Low,Très faible,4.192,1,Very Low,Très faible,4.003,1,Very Low,Très faible,3.617,1,Very Low,Très faible,3.627,1,Very Low,Très faible,3.181,1,Very Low,Très faible,-1.031,-1,Decrease,Diminuation
484001,9.313,2,Low,Faible,8.844,2,Low,Faible,8.522,2,Low,Faible,8.989,2,Low,Faible,8.808,2,Low,Faible,8.324,2,Low,Faible,6.595,2,Low,Faible,6.201,2,Low,Faible,5.741,1,Very Low,Très faible,-3.572,-1,Decrease,Diminuation
484002,2.701,1,Very Low,Très faible,2.516,1,Very Low,Très faible,2.856,1,Very Low,Très faible,2.876,1,Very Low,Très faible,2.827,1,Very Low,Très faible,2.522,1,Very Low,Très faible,2.273,1,Very Low,Très faible,1.928,1,Very Low,Très faible,1.991,1,Very Low,Très faible,-0.71,0,Little or no change,Peu ou pas de changement
484003,6.709,2,Low,Faible,5.831,1,Very Low,Très faible,6.242,2,Low,Faible,6.58,2,Low,Faible,6.08,2,Low,Faible,5.491,1,Very Low,Très faible,4.556,1,Very Low,Très faible,4.148,1,Very Low,Très faible,3.648,1,Very Low,Très faible,-3.061,-1,Decrease,Diminuation
484004,12.806,3,Moderate,Moyen,14.402,3,Moderate,Moyen,16.692,3,Moderate,Moyen,14.292,3,Moderate,Moyen,22.451,4,High,Élevé,14.2,3,Moderate,Moyen,10.709,2,Low,Faible,7.793,2,Low,Faible,6.173,2,Low,Faible,-6.633,-2,Large Decrease,Grande diminuation
484005,2.121,1,Very Low,Très faible,2.251,1,Very Low,Très faible,1.926,1,Very Low,Très faible,2.863,1,Very Low,Très faible,2.011,1,Very Low,Très faible,2.094,1,Very Low,Très faible,1.394,1,Very Low,Très faible,1.501,1,Very Low,Très faible,1.621,1,Very Low,Très faible,-0.5,0,Little or no change,Peu ou pas de changement
485001,11.424,3,Moderate,Moyen,11.115,3,Moderate,Moyen,9.987,2,Low,Faible,9.587,2,Low,Faible,8.529,2,Low,Faible,8.482,2,Low,Faible,8.205,2,Low,Faible,6.449,2,Low,Faible,6.51,2,Low,Faible,-4.914,-1,Decrease,Diminuation
485003,2.961,1,Very Low,Très faible,3.964,1,Very Low,Très faible,4.297,1,Very Low,Très faible,4.006,1,Very Low,Très faible,4.678,1,Very Low,Très faible,4.201,1,Very Low,Très faible,2.002,1,Very Low,Très faible,1.854,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
485007,4.398,1,Very Low,Très faible,3.292,1,Very Low,Très faible,3.611,1,Very Low,Très faible,4.254,1,Very Low,Très faible,3.531,1,Very Low,Très faible,4.25,1,Very Low,Très faible,2.088,1,Very Low,Très faible,4.906,1,Very Low,Très faible,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
485014,10.575,2,Low,Faible,9.027,2,Low,Faible,7.273,2,Low,Faible,9.441,2,Low,Faible,7.943,2,Low,Faible,8.505,2,Low,Faible,5.416,1,Very Low,Très faible,6.914,2,Low,Faible,5.951,1,Very Low,Très faible,-4.624,-1,Decrease,Diminuation
